time,wx,wy,wz
2020-12-08 8:56:57.9820,0.2,0.24,1.81
2020-12-08 8:56:57.9990,1.59,-0.13,1.85
2020-12-08 8:56:58.0020,1.59,-0.13,1.85
2020-12-08 8:56:58.0220,2.98,-0.08,1.88
2020-12-08 8:56:58.0230,2.98,-0.08,1.88
2020-12-08 8:56:58.0390,3.27,-0.07,1.74
2020-12-08 8:56:58.0440,3.27,-0.07,1.74
2020-12-08 8:56:58.0590,2.34,0.12,1.26
2020-12-08 8:56:58.0630,2.34,0.12,1.26
2020-12-08 8:56:58.0790,1.13,0.53,0.86
2020-12-08 8:56:58.0830,1.13,0.53,0.86
2020-12-08 8:56:58.0990,0.75,1.2,0.78
2020-12-08 8:56:58.1030,0.75,1.2,0.78
2020-12-08 8:56:58.1280,0.48,2.11,0.77
2020-12-08 8:56:58.1290,0.48,2.11,0.77
2020-12-08 8:56:58.1380,0.15,1.99,0.56
2020-12-08 8:56:58.1420,0.15,1.99,0.56
2020-12-08 8:56:58.1590,-0.01,1.33,0.26
2020-12-08 8:56:58.1630,-0.01,1.33,0.26
2020-12-08 8:56:58.1790,0.1,0.81,0.08
2020-12-08 8:56:58.1830,0.1,0.81,0.08
2020-12-08 8:56:58.1990,0.22,0.02,0.32
2020-12-08 8:56:58.2020,0.22,0.02,0.32
2020-12-08 8:56:58.2220,-0.19,-0.86,0.52
2020-12-08 8:56:58.2230,-0.19,-0.86,0.52
2020-12-08 8:56:58.2390,-0.53,-1.04,0.57
2020-12-08 8:56:58.2440,-0.8,-0.94,0.6
2020-12-08 8:56:58.2590,-1.35,-0.71,0.57
2020-12-08 8:56:58.2620,-1.35,-0.71,0.57
2020-12-08 8:56:58.2790,-2.35,-1.33,0.31
2020-12-08 8:56:58.2840,-2.35,-1.33,0.31
2020-12-08 8:56:58.2990,-3.79,-2.53,-0.08
2020-12-08 8:56:58.3040,-3.79,-2.53,-0.08
2020-12-08 8:56:58.3220,-4.65,-2.82,-0.34
2020-12-08 8:56:58.3230,-4.65,-2.82,-0.34
2020-12-08 8:56:58.3390,-4.6,-2.03,-0.46
2020-12-08 8:56:58.3430,-4.26,-0.75,-0.54
